ElastomerID,PITTagID,FinalID,OldNew,Date,Stream,Reach,SurNum,Primary,Species,Sex,RawLongLoc,CorrLongLoc,Stage,Meso,LatLoc,SubSize,SubType,Metamorph,TailRemoved,TailRegrown,FieldSVL,PhotoSVL,MassMg,HeadLength,HeadWidth,TrunkLength,TrunkWidth,HumerousLength,FemurLength,TailWidth,TailHeight,Photo,Photo2,Photo3,Tissue,Diet,CORT,Notes,Remove,Reason,Action,Last3Digits
GBB1-4-5O2,NA,GBB1-4-5O2,N,7/9/2015,Bear,Upper,30,10,GP,M,211,1111,A,RF,WE,300,R,N,0,0,NA,99.96,21250,26.34,16.58,66.54,15.93,5.51,5.73,NA,NA,(106)340-341,NA,NA,NA,NA,NA,MISLABELED AS GBB1-5O2 IN PIC,N,NA,NA,NA
GBB1-4-6,NA,GBB1-4-6,N,8/1/2013,Bear,Lower,13,5,GP,NA,151,151,L,RF,WE,300,R,N,0,0,NA,35.72,1000,10.4,7.28,20.88,6.18,1.6,1.76,NA,NA,105-015-016,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-4-6,NA,GBB1-4-6,O,8/7/2013,Bear,Lower,14,5,GP,NA,150,150,L,PL,WE,300,R,N,5,0,NA,34.65,1000,9.23,6.8,20.88,5.64,1.55,1.23,NA,NA,105-149-150,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-4-7,NA,GBB1-4-7,N,8/1/2013,Bear,Lower,13,5,GP,NA,273,273,L,RF,WE,600,R,N,0,0,NA,43.58,2000,11.59,8.04,26.05,7.51,2.74,2.4,NA,NA,105-022-024,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-4-8,NA,GBB1-4-8,N,8/1/2013,Bear,Lower,13,5,GP,NA,281,281,L,RF,WE,100,R,N,0,0,NA,39.42,1400,11.62,7.64,22.02,6.85,1.44,1.7,NA,NA,105-027-029,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-4-8,NA,GBB1-4-8,O,8/23/2013,Bear,Lower,16,6,GP,NA,281,281,L,RF,WE,180,R,N,4,1,NA,NA,1200,NA,NA,NA,NA,NA,NA,NA,NA,105-553-555,NA,NA,NA,NA,NA,no measurements,N,NA,NA,NA
GBB1-4O2,NA,GBB1-4O2,N,7/9/2015,Bear,Upper,30,10,GP,NA,85,985,L,RF,WE,150,R,N,0,0,NA,33.75,1000,8.82,6.83,21.96,5.84,2.4,1.83,NA,NA,(106)324-325,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-4O3,NA,GBB1-4O3,N,7/9/2015,Bear,Upper,30,10,GP,F,85,985,A,RF,WE,200,R,N,15,5,NA,70.06,5900,17.28,10.67,46.3,11.23,5.49,4.65,NA,NA,(106)326-328,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-4O5,NA,GBB1-4O5,N,7/9/2015,Bear,Upper,30,10,GP,M,95,995,A,RF,WE,300,R,N,0,0,NA,84.03,10250,21.39,13.12,56.96,13.02,6.38,5.49,NA,NA,(106)329-331,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-4O5,GP900113001674079,GBB1-4O5,N,7/24/2020,Bear,Upper,60,20,GP,M,83,983,A,Rf,WE,200,R,N,20,20,NA,101.96,16750,24.011,15.572,68.141,16.023,4.926,5.859,12.143,12.238,107-0714,1007-0715,NA,Y,NA,NA,NA,N,NA,NA,79
GBB1-4O6,NA,GBB1-4O6,N,7/9/2015,Bear,Upper,30,10,GP,M,99,999,A,PL,WE,350,R,N,20,5,NA,84.24,10500,18.96,13.07,58.49,13.45,5.45,5.9,NA,NA,(106)332-333,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-4O7,NA,GBB1-4O7,N,7/9/2015,Bear,Upper,30,10,GP,NA,131,1031,L,PL,T,200,R,N,10,10,NA,45.21,2300,12.12,9.1,30.7,7.82,3.33,2.66,NA,NA,(106)334-335,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-4O7,NA,GBB1-4O7,O,8/3/2015,Bear,Upper,33,11,GP,NA,130,1030,L,PL,T,250,R,N,50,0,NA,44.7,2000,10.91,8.63,30.31,7.65,3.13,2.38,NA,NA,(106)524-525,NA,NA,NA,NA,NA,1 CM OF TAIL CAME OFF DURING PROCESSING,N,NA,NA,NA
GBB1-4O7,NA,GBB1-4O7,O,8/20/2015,Bear,Upper,36,12,GP,NA,130,1030,L,PL,T,200,R,N,60,5,NA,46.44,2000,12.41,8.84,30.59,7.75,2.5,2.47,NA,NA,(106)723-724,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-4O8,NA,GBB1-4O8,N,7/9/2015,Bear,Upper,30,10,GP,M,204,1104,A,RF,T,400,R,N,30,5,NA,106.25,19750,25.21,16.06,73.64,15.35,5.85,7.23,NA,NA,(106)338-339,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-5,NA,GBB1-5,N,7/13/2013,Bear,Lower,11,4,GP,NA,81,81,L,PL,T,450,R,N,0,0,NA,38.43,1500,11.07,7.25,23.1,6.21,1.75,2.31,NA,NA,104-440-442,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-5,NA,GBB1-5,O,6/20/2015,Bear,Lower,28,10,GP,NA,80,80,L,RF,WE,300,R,N,0,0,NA,52.59,3500,14.64,9.78,35.03,8.88,3.3,3.29,NA,NA,(106)35-36,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-5-6,NA,GBB1-5-6,N,8/1/2013,Bear,Lower,13,5,GP,NA,312,312,L,RF,WE,220,R,N,0,0,NA,37.3,1200,10.57,7.71,21.79,6.24,2.4,1.92,NA,NA,105-032-033,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-5-7,NA,GBB1-5-7,N,8/1/2013,Bear,Lower,13,5,GP,NA,316,316,A,RF,WE,150,R,N,0,0,NA,84.69,9500,22.35,12.25,53.43,12.21,4.51,4.01,NA,NA,105-034-036,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-5-8,NA,GBB1-5-8,N,8/1/2013,Bear,Lower,13,5,GP,NA,336,336,L,RF,WE,500,R,N,0,0,NA,62.28,5700,14.55,11.64,39.36,11.22,3.09,1.83,NA,NA,105-037-038,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-5-8,NA,GBB1-5-8,O,8/23/2013,Bear,Lower,16,6,GP,NA,338,338,L,RF,WE,350,R,N,3,0,NA,NA,5800,NA,NA,NA,NA,NA,NA,NA,NA,105-564-565,NA,NA,NA,NA,NA,mislabeled as GB18 in pic; no measurements,N,NA,NA,NA
GBB1-5O2,NA,GBB1-5O2,N,7/9/2015,Bear,Upper,30,10,GP,NA,286,1186,L,PL,WE,350,R,N,0,0,NA,49.63,2400,12.66,9.58,33.36,8.26,3.32,2.68,NA,NA,(106)349-350,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-5O3,NA,GBB1-5O3,N,7/9/2015,Bear,Upper,30,10,GP,NA,342,1242,L,PL,T,200,R,N,70,50,NA,50.64,2400,12.51,9.31,34.62,8.42,3.35,2.42,NA,NA,(106)358-359,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-5O4,NA,GBB1-5O4,N,7/9/2015,Bear,Upper,30,10,GP,NA,398,1298,L,RF,WE,200,R,N,0,0,NA,44.1,1900,11.58,8.31,29.92,7.46,2.48,2.49,NA,NA,(106)366-368,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-5O6,NA,GBB1-5O6,N,7/9/2015,Bear,Upper,30,10,GP,NA,431,1331,L,PL,WE,250,R,N,0,0,NA,51.04,2900,12.31,9.72,34.7,8.66,3.65,2.75,NA,NA,(106)369-370,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-5O6,GP999002018052269,GBB1-5O6,O,6/21/2018,Bear,Upper,37,13,GP,U,428,1328,L,PL,T,200,R,N,5,4,NA,58.25,4300,14.87,10.13,40.59,9.18,4.06,3.86,NA,NA,1090187,NA,NA,Y,N,NA,NA,N,NA,NA,269
GBB1-5O7,NA,GBB1-5O7,N,7/15/2015,Bear,Upper,31,11,GP,NA,91,991,A,RF,WE,300,R,N,15,5,NA,82.09,8100,21.73,12.9,55.1,11.56,5.26,4.81,NA,NA,(107)980-983,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-5O8,NA,GBB1-5O8,N,7/15/2015,Bear,Upper,31,11,GP,NA,136,1036,M,RF,T,400,R,Y,0,0,NA,65.43,5700,16.3,11.53,45.07,10.8,4.59,3.97,NA,NA,(107)988-989,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-5O8,NA,GBB1-5O8,O,8/15/2015,Bear,Upper,35,12,GP,NA,138,1038,M,RF,WE,400,R,Y,5,0,NA,64.57,5200,15.86,10.27,44.69,9.72,4.95,4.29,NA,NA,(108)689-690,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-6,NA,GBB1-6,N,7/13/2013,Bear,Lower,11,4,GP,NA,119,119,L,PL,T,600,R,N,0,0,NA,41.32,1700,10.57,7.95,25.65,7.09,2.22,1.53,NA,NA,104-446-448,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-6-7,NA,GBB1-6-7,N,8/1/2013,Bear,Lower,13,5,GP,NA,351,351,L,RF,WE,550,R,N,0,0,NA,53.39,4200,13.87,9.81,31.17,9.76,2.53,2.67,NA,NA,105-039-040,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-6-8,NA,GBB1-6-8,N,8/1/2013,Bear,Lower,13,5,GP,NA,417,417,L,RF,WE,470,R,N,0,0,NA,58.93,6100,13.62,11.08,36.8,11.43,3.45,2.67,NA,NA,105-044-046,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-6O2,NA,GBB1-6O2,N,7/15/2015,Bear,Upper,31,11,GP,NA,187,1087,L,RF,T,400,R,N,0,0,NA,39.85,1700,11.66,8.08,25.95,6.61,2.67,1.77,NA,NA,(107)992-993,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-6O3,NA,GBB1-6O3,N,7/15/2015,Bear,Upper,31,11,GP,NA,203,1103,L,RF,WE,200,R,N,0,0,NA,44.53,2200,9.98,8.79,31.15,7.85,3.38,3.1,NA,NA,(107)996-997,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-6O4,NA,GBB1-6O4,N,7/15/2015,Bear,Upper,31,11,GP,NA,431,1331,L,PL,T,250,R,N,3,3,NA,50.08,3100,13.83,9.85,33.88,8.5,3.6,2.88,NA,NA,(108)16-17,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-6O5,NA,GBB1-6O5,N,7/23/2015,Bear,Upper,32,11,GP,NA,80,980,L,PL,T,350,R,N,10,0,NA,43.95,2200,10.15,8.55,29.5,7.46,3.25,2.04,NA,NA,(108)203-204,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
GBB1-6O7,NA,GBB1-6O7,N,7/23/2015,Bear,Upper,32,11,GP,F,90,990,A,RF,WE,300,R,N,0,0,NA,79.35,8900,22.84,13.35,54.16,11.94,4.93,4.83,NA,NA,(108)205-206,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
